,hdim,lookback,loss,loss_adjusted,lr,seed
0,25,0,4.939049405981588,5.285210982069128,1.0,2018
1,25,0,4.97821520247928,5.32930951086827,0.5,2018
2,25,0,5.197513290951773,5.57622707504115,0.1,2018
3,25,0,5.37589557982553,5.777075703349261,0.05,2018
4,25,2,4.916231659630816,5.259519456948727,1.0,2018
5,25,2,4.945055435389214,5.291973440246542,0.5,2018
6,25,2,5.177298308146302,5.553466118259031,0.1,2018
7,25,2,5.387659152071675,5.79032083751902,0.05,2018
8,25,5,4.906394586840637,5.24844345501519,1.0,2018
9,25,5,4.941813362669408,5.288323045004057,0.5,2018
10,25,5,5.194744426192361,5.573109485888047,0.1,2018
11,25,5,5.3700919053709315,5.770541085699087,0.05,2018
12,50,0,5.020187088346041,5.376567541679891,1.0,2018
13,50,0,4.9504703865388295,5.2980703768741755,0.5,2018
14,50,0,5.1207448984427355,5.489790095057274,0.1,2018
15,50,0,5.3308625292234275,5.726370969717531,0.05,2018
16,50,2,5.005471291626664,5.3599983654224905,1.0,2018
17,50,2,5.051171885965282,5.411454716519503,0.5,2018
18,50,2,5.160964339303047,5.535074969352332,0.1,2018
19,50,2,5.277726266422623,5.666542465641581,0.05,2018
20,50,5,5.051409455590473,5.41172220682725,1.0,2018
21,50,5,5.061163539717616,5.42270476809893,0.5,2018
22,50,5,5.113928659532689,5.482115385623133,0.1,2018
23,50,5,5.304425095417465,5.6966038759693856,0.05,2018
24,100,0,5.222532680926618,5.604397529570465,1.0,2018
25,100,0,5.041336260856436,5.40038034459538,0.5,2018
26,100,0,5.080178452171678,5.444114511789908,0.1,2018
27,100,0,5.25617358790023,5.64227533718999,0.05,2018
28,100,2,5.082915589764882,5.447196377902046,1.0,2018
29,100,2,5.10482692909195,5.47186733865729,0.5,2018
30,100,2,5.0996522276279315,5.466040909937746,0.1,2018
31,100,2,5.236270668213232,5.61986574628442,0.05,2018
32,100,5,4.96365885884118,5.312919869994433,1.0,2018
33,100,5,5.035457166230059,5.393760807987476,0.5,2018
34,100,5,5.1480807538985855,5.520568762079659,0.1,2018
35,100,5,5.223956226226454,5.606000363139939,0.05,2018

0,15,2,4.932163474835449,5.277457803017228,1.0,2018
1,15,2,4.998951607169575,5.352657559962063,0.5,2018
2,15,5,4.941298186951977,5.2877429855327,1.0,2018
3,15,5,4.9631923973953525,5.312394660108717,0.5,2018
